Date ,Stock,Open,High,Low,Last,Volume,
05-08-2020,2GO ,10.32 ,10.58 ,9.54 ,9.82 ,258.5K ,
05-08-2020,AB ,10.68 ,10.68 ,10.66 ,10.66 ,100K ,
05-08-2020,ABA ,0.55 ,0.56 ,0.54 ,0.55 ,1.38M ,
05-08-2020,ABG ,7.78 ,7.94 ,7.50 ,7.81 ,11.1K ,
05-08-2020,AC ,659.00 ,709.00 ,651.00 ,704.00 ,1.09M ,
05-08-2020,ACE ,1.19 ,1.19 ,1.19 ,1.19 ,14K ,
05-08-2020,ACEPH ,2.27 ,2.36 ,2.27 ,2.33 ,10.36M ,
05-08-2020,ACEX ,6.54 ,6.84 ,6.54 ,6.77 ,270.5K ,
05-08-2020,AEV ,38.65 ,39.40 ,38.00 ,38.30 ,697K ,
05-08-2020,AGI ,6.24 ,6.30 ,6.20 ,6.27 ,3.35M ,
05-08-2020,ALCO ,0.57 ,0.57 ,0.56 ,0.56 ,100K ,
05-08-2020,ALCPB ,100.00 ,100.00 ,100.00 ,100.00 ,50 ,
05-08-2020,ALI ,33.60 ,33.65 ,32.65 ,32.65 ,11.28M ,
05-08-2020,ALLHC ,1.85 ,1.91 ,1.82 ,1.91 ,1.86M ,
05-08-2020,ANI ,7.82 ,8.35 ,7.80 ,7.97 ,961.5K ,
05-08-2020,ANS ,6.07 ,6.08 ,6.00 ,6.08 ,14.2K ,
05-08-2020,AP ,26.20 ,26.70 ,26.00 ,26.50 ,1.64M ,
05-08-2020,APC ,0.31 ,0.31 ,0.30 ,0.30 ,390K ,
05-08-2020,APL ,0.04 ,0.04 ,0.0390 ,0.04 ,2.8M ,
05-08-2020,APO ,0.50 ,0.54 ,0.50 ,0.53 ,7K ,
05-08-2020,APX ,0.90 ,0.93 ,0.89 ,0.90 ,1.13M ,
05-08-2020,AR ,0.0011 ,0.0011 ,0.0010 ,0.0011 ,61M ,
05-08-2020,ARA ,1.01 ,1.05 ,1.01 ,1.04 ,131K ,
05-08-2020,AT ,1.90 ,1.90 ,1.85 ,1.88 ,4K ,
05-08-2020,ATI ,17.38 ,17.38 ,17.38 ,17.38 ,100 ,
05-08-2020,ATN ,0.53 ,0.54 ,0.51 ,0.51 ,995K ,
05-08-2020,ATNB ,0.55 ,0.57 ,0.55 ,0.55 ,537K ,
05-08-2020,AUB ,48.00 ,48.00 ,48.00 ,48.00 ,100 ,
05-08-2020,AXLM ,2.84 ,2.89 ,2.79 ,2.87 ,1.56M ,
05-08-2020,BCOR ,2.16 ,2.27 ,2.16 ,2.20 ,74K ,
05-08-2020,BDO ,98.00 ,98.75 ,97.00 ,97.00 ,1.29M ,
05-08-2020,BEL ,1.34 ,1.36 ,1.32 ,1.35 ,84K ,
05-08-2020,BHI ,0.0270 ,0.0270 ,0.0260 ,0.0270 ,700K ,
05-08-2020,BLOOM ,5.18 ,5.34 ,5.17 ,5.28 ,15.02M ,
05-08-2020,BMM ,75.10 ,75.10 ,75.10 ,75.10 ,80 ,
05-08-2020,BPI ,59.65 ,59.65 ,56.75 ,57.00 ,6.2M ,
05-08-2020,BRN ,0.57 ,0.58 ,0.56 ,0.57 ,302K ,
05-08-2020,BSC ,0.17 ,0.17 ,0.1610 ,0.1690 ,460K ,
05-08-2020,C ,3.24 ,3.27 ,3.19 ,3.20 ,630K ,
05-08-2020,CAT ,11.16 ,13.00 ,11.16 ,13.00 ,1.3K ,
05-08-2020,CDC ,0.72 ,0.75 ,0.72 ,0.75 ,23K ,
05-08-2020,CEB ,46.80 ,47.00 ,44.50 ,44.50 ,404.8K ,
05-08-2020,CEU ,6.04 ,6.04 ,6.04 ,6.04 ,400 ,
05-08-2020,CHI ,5.90 ,5.90 ,5.90 ,5.90 ,300 ,
05-08-2020,CHIB ,19.80 ,19.80 ,19.70 ,19.72 ,91.1K ,
05-08-2020,CHP ,1.08 ,1.09 ,1.07 ,1.09 ,1.88M ,
05-08-2020,CIC ,23.40 ,23.40 ,23.30 ,23.40 ,1.9K ,
05-08-2020,CLI ,4.06 ,4.15 ,4.06 ,4.14 ,303K ,
05-08-2020,CNPF ,14.50 ,14.66 ,14.32 ,14.50 ,2.3M ,
05-08-2020,COAL ,0.1930 ,0.1990 ,0.1930 ,0.1990 ,150K ,
05-08-2020,COL ,15.80 ,15.80 ,15.80 ,15.80 ,2.7K ,
05-08-2020,COSCO ,4.95 ,5.08 ,4.90 ,5.08 ,610K ,
05-08-2020,CPG ,0.35 ,0.35 ,0.3450 ,0.35 ,780K ,
05-08-2020,CPM ,2.73 ,2.73 ,2.73 ,2.73 ,70K ,
05-08-2020,CROWN ,1.75 ,1.76 ,1.75 ,1.76 ,15K ,
05-08-2020,CYBR ,0.28 ,0.28 ,0.28 ,0.28 ,10K ,
