Date,Stock,Open,High,Low ,Last,Volume,,,
05/05/20,GO,10.98,11.5,10.68,11.08,"588,000.00",,,
05/05/20,8990P,98.8,99,98.8,99,"6,360.00",,,
05/05/20,AB,10.88,10.88,10.88,10.88,200.00,,,
05/05/20,ABA,0.58,0.58,0.55,0.56,"5,370,000.00",,,
05/05/20,ABG,7.9,7.9,7.3,7.58,"13,700.00",,,
05/05/20,ABS,17.22,17.6,17,17,"1,180,000.00",,,
05/05/20,ABSP,16.3,16.3,15.02,15.02,"390,100.00",,,
05/05/20,AC,577.5,577.5,555,560,"276,190.00",,,
05/05/20,ACE,1.19,1.19,1.19,1.19,"3,000.00",,,
05/05/20,ACEPH,2.29,2.29,2.18,2.2,"9,940,000.00",,,
05/05/20,ACEX,6.79,6.9,6.4,6.7,"49,900.00",,,
05/05/20,ACR,0.93,0.95,0.91,0.95,"25,000.00",,,
05/05/20,AEV,41,41,39.2,40.05,"788,200.00",,,
05/05/20,AGI,6.35,6.35,6.02,6.02,"8,530,000.00",,,
05/05/20,ALCO,0.56,0.58,0.56,0.58,"1,360,000.00",,,
05/05/20,ALCPB,100,100,100,100,"1,100.00",,,
05/05/20,ALI,31.7,31.8,30.75,31.8,"13,080,000.00",,,
05/05/20,ALLHC,1.96,1.97,1.82,1.94,"2,180,000.00",,,
05/05/20,ANI,8.42,8.42,8.16,8.28,"706,100.00",,,
05/05/20,ANS,6,6,6,6,"3,900.00",,,
05/05/20,AP,27.4,27.4,26.05,26.2,"95,380.00",,,
05/05/20,APB2R,491,491,491,491,10.00,,,
05/05/20,APC,0.31,0.325,0.31,0.325,"380,000.00",,,
05/05/20,APL,0.042,0.042,0.038,0.04,"32,800,000.00",,,
05/05/20,APO,0.54,0.54,0.54,0.54,"76,000.00",,,
05/05/20,APX,0.94,0.94,0.9,0.92,"908,000.00",,,
05/05/20,AR,0.0011,0.0011,0.0011,0.0011,"12,000,000.00",,,
05/05/20,ARA,1.12,1.3,1.12,1.16,"1,460,000.00",,,
05/05/20,AT,1.8,1.81,1.8,1.8,"37,000.00",,,
05/05/20,ATI,16.44,18.8,16.44,17.94,"1,400.00",,,
05/05/20,ATN,0.57,0.58,0.52,0.52,"5,140,000.00",,,
05/05/20,ATNB,0.61,0.61,0.56,0.56,"595,000.00",,,
05/05/20,AUB,45.55,47.5,45.55,47.5,"3,900.00",,,
05/05/20,AXLM,2.94,3.04,2.83,3.02,"3,280,000.00",,,
05/05/20,BC,0.98,0.98,0.98,0.98,"5,000.00",,,
05/05/20,BCOR,2.36,2.58,2.36,2.4,"796,000.00",,,
05/05/20,BDO,100,100.7,98,98.9,"248,000.00",,,
05/05/20,BEL,1.38,1.4,1.38,1.38,"141,000.00",,,
05/05/20,BHI,0.029,0.029,0.027,0.027,"15,400,000.00",,,
05/05/20,BLOOM,5.52,5.53,5.38,5.41,"9,730,000.00",,,
05/05/20,BMM,86.95,86.95,86.95,86.95,40.00,,,
05/05/20,BPI,58.5,58.5,57.8,58,"3,420,000.00",,,
05/05/20,BRN,0.56,0.58,0.55,0.57,"547,000.00",,,
05/05/20,C,3.3,3.34,3.15,3.16,"842,000.00",,,
05/05/20,CA,55.2,60,55.2,58,570.00,,,
05/05/20,CAB,64.5,64.5,64,64,240.00,,,
05/05/20,CDC,0.75,0.75,0.73,0.75,"14,000.00",,,
05/05/20,CEB,48,48,45,46.85,"274,100.00",,,
05/05/20,CEI,0.123,0.123,0.123,0.123,"10,000.00",,,
05/05/20,CEU,6.26,6.26,6.26,6.26,"1,100.00",,,
05/05/20,CHIB,19.74,19.82,19.72,19.74,"138,700.00",,,
05/05/20,CHP,1.11,1.11,1.05,1.06,"8,240,000.00",,,
05/05/20,CIC,25.7,25.7,23.95,24,"3,000.00",,,
05/05/20,CLI,4,4.14,4,4.13,"386,000.00",,,
05/05/20,CNPF,14.32,14.4,14.2,14.3,"559,500.00",,,
05/05/20,COAL,0.204,0.204,0.204,0.204,"10,000.00",,,
05/05/20,COL,15.5,15.88,15.5,15.5,"2,400.00",,,
05/05/20,COSCO,5,5,4.85,4.85,"395,000.00",,,
05/05/20,CPG,0.36,0.36,0.35,0.36,"1,840,000.00",,,
05/05/20,CPGP,99.1,99.5,99.1,99.5,"2,520.00",,,
05/05/20,CPM,2.69,2.74,2.69,2.73,"250,000.00",,,
05/05/20,CROWN,1.74,1.74,1.74,1.74,"5,000.00",,,
05/05/20,DD,16.16,16.16,15.92,15.92,"216,300.00",,,
05/05/20,DDPR,99.1,100,99,100,"34,970.00",,,
05/05/20,DELM,3.74,3.95,3.74,3.95,"128,000.00",,,
05/05/20,DFNN,2.9,2.9,2.8,2.8,"86,000.00",,,
05/05/20,DITO,2.12,2.18,2.1,2.14,"18,710,000.00",,,
05/05/20,DMC,4.14,4.15,4.04,4.15,"6,890,000.00",,,
05/05/20,DMPA2,9.7,9.7,9.7,9.7,"2,090.00",,,
05/05/20,DMW,7,7,6.9,6.9,"73,600.00",,,
05/05/20,DNL,5.29,5.34,5.18,5.23,"1,320,000.00",,,
05/05/20,DWC,1.83,1.83,1.6,1.82,"11,000.00",,,
05/05/20,EAGLE,8.22,8.44,8.22,8.37,"159,700.00",,,
05/05/20,ECP,7.8,8.3,7,7.8,"285,500.00",,,
05/05/20,EEI,5.28,5.28,5.11,5.11,"3,420,000.00",,,
05/05/20,ELI,0.325,0.325,0.325,0.325,"100,000.00",,,
05/05/20,EMP,7.9,7.9,7.85,7.9,"1,020,000.00",,,
05/05/20,EURO,2.76,2.76,2.5,2.67,"1,610,000.00",,,
05/05/20,EW,7.85,7.85,7.7,7.76,182.70,,,
05/05/20,FB,58.9,59,57.6,59,"352,660.00",,,
05/05/20,FDC,8.5,8.5,8.5,8.5,"401,000.00",,,
05/05/20,FERRO,2.79,2.79,2.7,2.72,"63,000.00",,,
05/05/20,FGEN,18.96,18.96,18.5,18.74,"726,700.00",,,
05/05/20,FGENG,107.4,107.4,107.4,107.4,10.00,,,
05/05/20,FLI,0.94,0.96,0.93,0.94,"7,840,000.00",,,
05/05/20,FMETF,86.25,86.25,84,84,"38,350.00",,,
05/05/20,FNI,0.87,0.89,0.83,0.88,"327,000.00",,,
05/05/20,FOOD,0.56,0.56,0.53,0.53,"652,000.00",,,
05/05/20,FPH,57.35,57.8,57.15,57.45,"22,700.00",,,
05/05/20,FPHPC,495,496,495,496,50.00,,,
